# Source: mahavivo/english-wordlists CET4_edited.txt parsed from cached GitHub page.
# Fallbacks: previous generated phonetics plus six manual abbreviations/derived forms.
# Format: word<TAB>phonetic
a	/ə/
define	/diˈfain/
definite	/ˈdefinit/
definitely	/ˈdefinitli/
definition	/ˌdefiˈni∫ən/
degree	/diˈgriː/
delay	/diˈlei/
delete	/diˈliːt/
delegation	/ˌdeliˈgei∫ən/
delicate	/ˈdelikit/
delicious	/diˈli∫əs/
delight	/diˈlait/
deliver	/diˈlivə/
delivery	/diˈlivəri/
demand	/diˈmɑːnd/
democracy	/diˈmɔkrəsi/
democratic	/ˌdeməˈkrætik/
demonstrate	/ˈdemənstreit/
dense	/dens/
density	/ˈdensiti/
deny	/diˈnai/
depart	/diˈpɑːt/
department	/diˈpɑːtmənt/
departure	/diˈpɑːt∫ə/
depend	/diˈpend/
dependent	/diˈpendənt/
deposit	/diˈpɔzit/
depress	/diˈpres/
depth	/depθ/
derive	/diˈraiv/
descend	/diˈsend/
describe	/disˈkraib/
description	/disˈkrip∫ən/
desert	/diˈzəːt/
deserve	/diˈzəːv/
design	/diˈzain/
desirable	/diˈzaiərəbl/
desire	/diˈzaiə/
desk	/desk/
despair	/disˈpeə/
desperate	/ˈdespərit/
despise	/disˈpaiz/
despite	/disˈpait/
destination	/ˌdestiˈnei∫ən/
destroy	/disˈtrɔi/
destruction	/disˈtrʌk∫ən/
detail	/diˈteil/
detect	/diˈtekt/
detection	/diˈtek∫ən/
determination	/ditəːmiˈnei∫(ə)n/
determine	/diˈtəːmin/
develop	/diˈveləp/
development	/diˈveləpmənt/
device	/diˈvais/
devil	/ˈdevl/
devise	/diˈvaiz/
devote	/diˈvəut/
dew	/djuː/
diagram	/ˈdaiəgræm/
dial	/ˈdaiəl/
dialect	/ˈdaiəlekt/
dialog	/ˈdaiəlɔg/
diameter	/daiˈæmitə/
diamond	/ˈdaiəmənd/
diary	/ˈdaiəri/
dictate	/dikˈteit/
dictation	/dikˈtei∫ən/
dictionary	/ˈdik∫ənəri/
die	/dai/
differ	/ˈdifə/
difference	/ˈdifərəns/
different	/ˈdifrənt/
difficult	/ˈdifikəlt/
difficulty	/ˈdifikəlti/
dig	/dig/
digest	/daiˈdʒest/
digital	/ˈdidʒitl/
diligent	/ˈdilidʒənt/
dim	/dim/
dimension	/diˈmen∫ən/
dinner	/ˈdinə/
dip	/dip/
direct	/diˈrekt/
direction	/diˈrek∫ən/
directly	/diˈrektli/
director	/diˈrektə/
dirt	/dəːt/
dirty	/ˈdəːti/
disable	/disˈeibl/
disadvantage	/ˌdisədˈvɑːntidʒ/
disagree	/ˌdisəˈgriː/
disappear	/ˌdisəˈpiə/
disappoint	/ˌdisəˈpɔint/
disaster	/diˈzɑːstə/
disk	/disk/
discard	/disˈkɑːd/
discharge	/disˈt∫ɑːdʒ/
discipline	/ˈdisiplin/
disclose	/disˈkləuz/
discourage	/disˈkʌridʒ/
discover	/disˈkʌvə/
discovery	/disˈkʌvəri/
discuss	/disˈkʌs/
discussion	/disˈkʌ∫ən/
disease	/diˈziːz/
disguise	/disˈgaiz/
disgust	/disˈgʌst/
dish	/di∫/
dishonor	/disˈɔnə/
dislike	/disˈlaik/
dismiss	/disˈmis/
disorder	/disˈɔːdə/
display	/diˈsplei/
disposal	/disˈpəuzəl/
dispose	/disˈpəuz/
displease	/disˈpliːz/
dispute	/disˈpjuːt/
dissatisfy	/ˈdisˈsætisfai/
dissolve	/diˈzɔlv/
distance	/ˈdistəns/
distant	/ˈdistənt/
distinct	/disˈtiŋkt/
distinction	/disˈtiŋk∫ən/
distinguish	/disˈtiŋgwi∫/
distress	/disˈtres/
distribute	/disˈtribju(ː)t/
distribution	/ˌdistriˈbjuː∫ən/
district	/ˈdistrikt/
disturb	/disˈtəːb/
ditch	/dit∫/
dive	/daiv/
diverse	/daiˈvəːs/
divide	/diˈvaid/
division	/diˈviʒən/
divorce	/diˈvɔːs/
do	/duː/
dock	/dɔk/
doctor	/ˈdɔktə/
document	/ˈdɔkjumənt/
dog	/dɔg/
dollar	/ˈdɔlə/
domestic	/dəˈmestik/
donkey	/ˈdɔŋki/
door	/dɔː/
dorm	/dɔːm/
dormitory	/ˈdɔːmitri/
dose	/dəus/
dot	/dɔt/
double	/ˈdʌbl/
doubt	/daut/
doubtful	/ˈdautful/
doubtless	/ˈdautlis/
down	/daun/
downstairs	/daunˈsteəz/
downward	/ˈdaunwəd/
dozen	/ˈdʌzn/
draft	/drɑːft/
drag	/dræg/
dragon	/ˈdrægən/
drain	/drein/
drama	/ˈdrɑːmə/
dramatic	/drəˈmætik/
draw	/drɔː/
drawer	/ˈdrɔːə/
drawing	/ˈdrɔːiŋ/
dread	/dred/
dream	/driːm/
dress	/dres/
drift	/drift/
drill	/dril/
drink	/driŋk/
drip	/drip/
drive	/draiv/
driver	/ˈdraivə/
drop	/drɔp/
drought	/draut/
drown	/draun/
drug	/drʌg/
drum	/drʌm/
drunk	/drʌŋk/
dry	/drai/
duck	/dʌk/
due	/djuː/
dull	/dʌl/
dumb	/dʌm/
dump	/dʌmp/
durable	/ˈdjuərəbl/
duration	/djuəˈrei∫ən/
during	/ˈdjuəriŋ/
dusk	/dʌsk/
dust	/dʌst/
duty	/ˈdjuːti/
dwelling	/ˈdweliŋ/
dye	/dai/
dying	/ˈdaiiŋ/
dynamic	/daiˈnæmik/
each	/iːt∫/
eager	/ˈiːgə/
eagle	/ˈiːgl/
ear	/iə/
early	/ˈəːli/
earn	/əːn/
earnest	/ˈəːnist/
earth	/əːθ/
earthquake	/ˈəːθkweik/
ease	/iːz/
easily	/ˈiːzili/
east	/iːst/
eastern	/ˈiːstən/
easy	/ˈiːzi/
eat	/iːt/
echo	/ˈekəu/
economic	/ˌiːkəˈnɔmik/
economical	/ˌiːkəˈnɔmikəl/
economy	/i(ː)ˈkɔnəmi/
edge	/edʒ/
edition	/iˈdi∫ən/
editor	/ˈeditə/
educate	/ˈedju(ː)keit/
education	/ˌedju(ː)ˈkei∫ən/
effect	/iˈfekt/
effective	/iˈfektiv/
efficiency	/iˈfi∫ənsi/
efficient	/iˈfi∫ənt/
effort	/ˈefət/
egg	/eg/
eight	/eit/
eighteen	/ˈeiˈtiːn/
eighth	/eitθ/
eighty	/ˈeiti/
either	/ˈaiðə(r)/
elaborate	/iˈlæbərət/
elastic	/iˈlæstik/
elbow	/ˈelbəu/
elder	/ˈeldə(r)/
elect	/iˈlekt/
election	/iˈlek∫(ə)n/
electric	/iˈlektrik/
electrical	/iˈlektrik(ə)l/
electricity	/ilekˈtrisiti/
electron	/iˈlektrɔn/
electronic	/ilekˈtrɔnik/
electronics	/ilekˈtrɔniks/
element	/ˈelimənt/
elementary	/ˌeliˈmentəri/
elephant	/ˈelifənt/
elevator	/ˈeliveitə/
eleven	/iˈlevən/
eleventh	/iˈlevnθ/
eliminate	/iˈlimineit/
elimination	/iˌlimiˈnei∫ən/
else	/els/
elsewhere	/ˈelsˈweə/
embarrass	/imˈbærəs/
embrace	/imˈbreis/
emerge	/iˈməːdʒ/
emergency	/iˈməːdʒnsi/
emit	/iˈmit/
emotion	/iˈməu∫ən/
emotional	/iˈməu∫ənl/
emperor	/ˈempərə/
emphasis	/ˈemfəsis/
emphasize	/ˈemfəsaiz/
empire	/ˈempaiə/
employ	/imˈplɔi/
employee	/ˌemplɔiˈiː/
employer	/imˈplɔiə/
employment	/imˈplɔimənt/
empty	/ˈempti/
enable	/iˈneibl/
enclose	/inˈkləuz/
encounter	/inˈkauntə/
encourage	/inˈkʌridʒ/
end	/end/
ending	/ˈendiŋ/
endless	/ˈendlis/
endure	/inˈdjuə/
enemy	/ˈenimi/
energy	/ˈenədʒi/
enforce	/inˈfɔːs/
engage	/inˈgeidʒ/
engine	/ˈendʒin/
engineer	/ˌendʒiˈniə/
engineering	/ˌendʒiˈniəriŋ/
England	/ˈinglənd/
English	/ˈiŋgli∫/
Englishman	/ˈiŋgli∫mən/
enjoy	/inˈdʒɔi/
enlarge	/inˈlɑːdʒ/
enormous	/iˈnɔːməs/
enough	/iˈnʌf/
ensure	/inˈ∫uər/
enter	/ˈentə/
entertain	/ˌentəˈtein/
enthusiasm	/inˈθjuːziæzəm/
enthusiastic	/inθjuːziˈæstik/
entire	/inˈtaiə/
entitle	/inˈtaitl/
entrance	/inˈtrɑːns/
entry	/ˈentri/
envelope	/ˈenviləup/
environment	/inˈvaiərənmənt/
envy	/ˈenvi/
equal	/ˈiːkwəl/
equality	/i(ː)ˈkwɔliti/
equation	/iˈkwei∫ən/
equip	/iˈkwip/
equipment	/iˈkwipmənt/
equivalent	/iˈkwivələnt/
era	/ˈiərə/
erect	/iˈrekt/
error	/ˈerə/
escape	/isˈkeip/
especially	/isˈpe∫əli/
essay	/ˈesei/
essential	/iˈsen∫əl/
establish	/isˈtæbli∫/
establishment	/isˈtæbli∫mənt/
estimate	/ˈestimeit/
Europe	/ˈjuərəp/
European	/ˌjuərəˈpi(ː)ən/
evaluate	/iˈvæljueit/
evaporate	/iˈvæpəreit/
eve	/iːv/
even	/ˈiːvən/
evening	/ˈiːvniŋ/
event	/iˈvent/
eventually	/iˈventjuəli/
ever	/ˈevə/
every	/ˈevri/
everybody	/ˈevribɔdi/
everyday	/ˈevridei/
everyone	/ˈevriwʌn/
everything	/ˈevriθiŋ/
everywhere	/ˈevriweə(r)/
evidence	/ˈevidəns/
evident	/ˈevidənt/
evil	/ˈiːvl/
evolution	/evəˈluː∫ən/
evolve	/iˈvɔlv/
exact	/igˈzækt/
exactly	/igˈzæktli/
exaggerate	/igˈzædʒəreit/
exam	/igˈzæm/
examination	/igˌzæmiˈnei∫ən/
examine	/igˈzæmin/
example	/igˈzɑːmpl/
exceed	/ikˈsiːd/
exceedingly	/ikˈsiːdiŋli/
excellent	/ˈeksələnt/
except	/ikˈsept/
exception	/ikˈsep∫ən/
excess	/ˈekses/
excessive	/ikˈsesiv/
exchange	/iksˈt∫eindʒ/
excite	/ikˈsait/
exciting	/ikˈsaitiŋ/
exclaim	/iksˈkleim/
exclude	/iksˈkluːd/
exclusively	/ikˈskluːsivli/
excursion	/iksˈkəː∫ən/
excuse	/iksˈkjuːz/
execute	/ˈeksikjuːt/
executive	/igˈzekjutiv/
exercise	/ˈeksəsaiz/
exert	/igˈzəːt/
exhaust	/igˈzɔːst/
exhibit	/igˈzibit/
exhibition	/ˌeksiˈbi∫ən/
exist	/igˈzist/
existence	/igˈzistəns/
exit	/ˈeksit/
expand	/iksˈpænd/
expansion	/iksˈpæn∫ən/
expect	/iksˈpekt/
expectation	/ˌekspekˈtei∫ən/
expense	/ikˈspens/
expensive	/iksˈpensiv/
experience	/iksˈpiəriəns/
experiment	/iksˈperimənt/
experimental	/ikˈsperiment(ə)l/
expert	/ˈekspəːt/
explain	/iksˈplein/
explanation	/ˌekspləˈnei∫ən/
explode	/iksˈpləud/
exploit	/iksˈplɔit/
explore	/iksˈplɔː/
explosion	/iksˈpləuʒən/
explosive	/iksˈpləusiv/
export	/ˈekspɔːt/
expose	/iksˈpəuz/
exposure	/iksˈpəuʒə/
express	/iksˈpres/
expression	/iksˈpre∫ən/
extend	/iksˈtend/
extension	/iksˈten∫ən/
extensive	/iksˈtensiv/
extent	/iksˈtent/
exterior	/eksˈtiəriə/
external	/eksˈtəːnl/
extra	/ˈekstrə/
extraordinary	/ikˈstrɔːdəneri/
extreme	/ikˈstriːm/
extremely	/iksˈtriːmli/
eye	/ai/
eyesight	/ˈaisait/
fable	/ˈfeibl/
fabric	/ˈfæbrik/
face	/feis/
facility	/fəˈsiliti/
fact	/fækt/
factor	/ˈfæktə/
factory	/ˈfæktəri/
faculty	/ˈfækəlti/
fade	/feid/
Fahrenheit	/ˈfærənhait/
fail	/feil/
failure	/ˈfeiljə/
faint	/feint/
fair	/feə/
fairly	/ˈfeəli/
faith	/feiθ/
faithful	/ˈfeiθful/
fall	/fɔːl/
false	/fɔːls/
fame	/feim/
familiar	/fəˈmiljə/
family	/ˈfæmili/
famine	/ˈfæmin/
famous	/ˈfeiməs/
fan	/fæn/
fancy	/ˈfænsi/
far	/fɑː/
fare	/feə/
farewell	/ˈfeəˈwel/
farm	/fɑːm/
farmer	/ˈfɑːmə/
farther	/ˈfɑːðə/
fashion	/ˈfæ∫ən/
fashionable	/ˈfæ∫ənəbl/
fast	/fɑːst/
fasten	/fæ sn/
fatal	/ˈfeitl/
fate	/feit/
father	/ˈfɑːðə/
father-in-law	/ˈfɑːðərinlɔː/
fatigue	/fəˈtiːg/
fault	/fɔːlt/
faulty	/ˈfɔːlti/
favour	/ˈfeivə/
favourable	/ˈfeiərəbl/
favourite	/ˈfeivərit/
fear	/fiə/
fearful	/ˈfiəful/
feasible	/ˈfiːzəbl/
feast	/fiːst/
feather	/ˈfeðə/
feature	/ˈfiːt∫ə/
February	/ˈfebruəri/
federal	/ˈfedərəl/
fee	/fiː/
feeble	/ˈfiːbl/
feed	/fiːd/
feedback	/ˈfiːdbæk/
feel	/fiːl/
feeling	/ˈfiːliŋ/
fellow	/ˈfeləu/
female	/ˈfiːmeil/
fence	/fens/
fertile	/ˈfəːtail/
fertilizer	/ˈfəːtiˌlaizə/
festival	/ˈfestəvəl/
fetch	/fet∫/
fever	/ˈfiːvə/
few	/fjuː/
fibre	/ˈfaibə/
fiction	/ˈfik∫ən/
field	/fiːld/
fierce	/fiəs/
fifteen	/ˈfifˈtiːn/
fifth	/fifθ/
fifty	/ˈfifti/
fight	/fait/
figure	/ˈfigə/
file	/fail/
fill	/fil/
film	/film/
filter	/ˈfiltə/
final	/ˈfainəl/
finally	/ˈfainəli/
finance	/faiˈnæns/
financial	/faiˈnæn∫əl/
find	/faind/
finding	/ˈfaindiŋ/
fine	/fain/
finger	/ˈfiŋgə/
finish	/ˈfini∫/
fire	/ˈfaiə/
fireman	/ˈfaiəmən/
firm	/fəːm/
first	/fəːst/
fish	/fi∫/
fisherman	/ˈfi∫əmən/
fist	/fist/
fit	/fit/
five	/faiv/
fix	/fiks/
flag	/flæg/
flame	/fleim/
flare	/fleə/
flash	/flæ∫/
flat	/flæt/
flavour	/ˈfleivə/
fleet	/fliːt/
flesh	/fle∫/
flexible	/ˈfleksəbl/
flight	/flait/
float	/fləut/
flock	/flɔk/
flood	/flʌd/
floor	/flɔə/
flour	/ˈflauə/
flourish	/ˈflʌri∫/
flow	/fləu/
flower	/ˈflauə/
flu	/fluː/
fluent	/ˈflu(ː)ənt/
fluid	/ˈflu(ː)id/
flush	/flʌ∫/
fly	/flai/
focus	/ˈfəukəs/
fog	/fɔg/
fold	/fəuld/
folk	/fəuk/
follow	/ˈfɔləu/
following	/ˈfɔləuiŋ/
fond	/fɔnd/
food	/fuːd/
fool	/fuːl/
foolish	/ˈfuːli∫/
foot	/fut/
football	/ˈfutbɔːl/
footstep	/ˈfutstep/
for	/fɔː/
forbid	/fəˈbid/
force	/fɔːs/
forecast	/ˈfɔːkɑːst/
forehead	/ˈfɔːhed/
foreign	/ˈfɔrin/
foreigner	/ˈfɔrinə/
foremost	/ˈfɔːməust/
forest	/ˈfɔrist/
forever	/fəˈrevə/
forget	/fəˈget/
forgive	/fəˈgiv/
fork	/fɔːk/
form	/fɔːm/
formal	/ˈfɔːməl/
formation	/fɔːˈmei∫ən/
former	/ˈfɔːmə/
formula	/ˈfɔːmjulə/
forth	/fɔːθ/
fortnight	/ˈfɔːtnait/
fortunate	/ˈfɔːt∫ənit/
fortunately	/ˈfɔːt∫ənətli/
fortune	/ˈfɔːt∫ən/
forty	/ˈfɔːti/
forward	/ˈfɔːwəd/
found	/faund/
foundation	/faunˈdei∫ən/
fountain	/ˈfauntin/
four	/fɔː/
fourteen	/ˈfɔːˈtiːn/
fourth	/fɔːθ/
fox	/fɔːks/
fraction	/ˈfræk∫ən/
fragment	/ˈfrægmənt/
frame	/freim/
framework	/ˈfreimwəːk/
France	/frɑːns/
frank	/fræŋk/
free	/friː/
freedom	/ˈfriːdəm/
freely	/ˈfriːli/
freeze	/friːz/
freight	/freit/
French	/frent∫/
frequency	/ˈfriːkwənsi/
frequent	/ˈfriːkwənt/
frequently	/ˈfriːkwənt/
fresh	/fre∫/
friction	/ˈfrik∫ən/
Friday	/ˈfraidi/
fridge	/fridʒ/
friend	/frend/
friendly	/ˈfrendli/
friendship	/ˈfrend∫ip/
frighten	/ˈfraitn/
frog	/frɔg/
from	/frɔm/
front	/frʌnt/
frontier	/ˈfrʌntjə/
frost	/frɔst/
frown	/fraun/
fruit	/fruːt/
fruitful	/ˈfruːtful/
fry	/frai/
fuel	/fjuəl/
fulfil	/fulˈfil/
full	/ful/
fun	/fʌn/
function	/ˈfʌŋk∫ən/
fund	/fʌnd/
fundamental	/ˌfʌndəˈmentl/
funeral	/ˈfjuːnərəl/
funny	/ˈfʌni/
fur	/fəː/
furious	/ˈfjuəriəs/
furnace	/ˈfəːnis/
furnish	/ˈfəːni∫/
furniture	/ˈfəːnit∫ə/
further	/ˈfəːðə/
furthermore	/fəːðəˈmɔː(r)/
future	/ˈfjuːt∫ə/
gain	/gein/
gallery	/ˈgæləri/
gallon	/ˈgælən/
game	/geim/
gang	/gæŋ/
gap	/gæp/
garage	/gə rɑː(d)ʒ/
garbage	/ˈgɑːbidʒ/
garden	/ˈgɑːdn/
gardener	/ˈgɑːdnə(r)/
gas	/gæs/
gaseous	/ˈgæsiəs/
gasoline	/ˈgæsəliːn/
gasp	/gɑːsp/
gate	/geit/
gather	/ˈgæðə/
gauge	/gedʒ/
gay	/gei/
gaze	/geiz/
general	/ˈdʒenərəl/
generally	/ˈdʒenərəli/
generate	/ˈdʒenəˌreit/
generation	/ˌdʒenəˈrei∫ən/
generator	/ˈdʒenəreitə/
generous	/ˈdʒenərəs/
genius	/ˈdʒiːnjəs/
gentle	/ˈdʒentl/
gentleman	/ˈdʒentlmən/
gently	/ˈdʒentli/
genuine	/ˈdʒenjuin/
geography	/dʒiˈɔgrəfi/
geometry	/dʒiˈɔmitri/
germ	/dʒəːm/
German	/ˈdʒəːmən/
Germany	/ˈdʒəːməni/
gesture	/ˈdʒest∫ə/
get	/get/
ghost	/gəust/
giant	/ˈdʒaiənt/
gift	/gift/
girl	/gəːl/
give	/giv/
glad	/glæd/
glance	/glɑːns/
glare	/gleə/
glass	/glɑːs/
glide	/glaid/
glimpse	/glimps/
glitter	/ˈglitə/
globe	/gləub/
gloomy	/ˈgluːmi/
glorious	/ˈglɔːriəs/
glory	/ˈglɔːri/
glove	/glʌv/
glow	/gləu/
glue	/gluː/
go	/gəu/
goal	/gəul/
goat	/gəut/
God	/gɔd/
gold	/gəuld/
golden	/ˈgəuldən/
golf	/gɔlf/
good	/gud/
goodbye	/ˌgudˈbai/
goodness	/ˈgudnis/
goods	/gudz/
goose	/guːs/
govern	/ˈgʌvən/
government	/ˈgʌvənmənt/
governor	/ˈgʌvənə/
gown	/gaun/
grace	/greis/
graceful	/ˈgreisful/
gracious	/ˈgrei∫əs/
grade	/greid/
gradual	/ˈgrædjuəl/
gradually	/ˈgrædjuəli/
graduate	/ˈgrædjueit/
grain	/grein/
gramme	/græm/
grammar	/ˈgræmə/
grammatical	/grəˈmætikəl/
grand	/grænd/
granddaughter	/ˈgrændɔːtə(r)/
grandfather	/ˈgrændˌfɑːðə/
grandmother	/ˈgrændˌmʌðə/
grandson	/ˈgrændsʌn/
grant	/grɑːnt/
grape	/greip/
graph	/grɑːf/
grasp	/grɑːsp/
grass	/grɑːs/
grateful	/ˈgreitful/
gratitude	/ˈgrætitjuːd/
grave	/greiv/
gravity	/ˈgræviti/
gray	/grei/
great	/greit/
greatly	/ˈgreitli/
greedy	/ˈgriːdi/
Greek	/griːk/
green	/griːn/
greenhouse	/ˈgriːnhaus/
greet	/griːt/
greeting	/ˈgriːtiŋ/
grey	/grei/
grieve	/griːv/
grind	/graind/
grip	/grip/
groan	/grəun/
grocer	/ˈgrəusə/
grocery	/ˈgrəusəri/
gross	/grəus/
ground	/graund/
group	/gruːp/
grow	/grəu/
growth	/grəuθ/
guarantee	/ˌgærənˈtiː/
guard	/gɑːd/
guess	/ges/
guest	/gest/
guidance	/ˈgaidəns/
guide	/gaid/
guilty	/ˈgilti/
gulf	/gʌlf/
gum	/gʌm/
gun	/gʌn/
gunpowder	/ˈgʌnpaudə(r)/
gymnasium	/dʒimˈneiziəm/
habit	/ˈhæbit/
habitual	/həˈbitjuəl/
hair	/heə/
haircut	/ˈheəkʌt/
half	/hɑːf/
hall	/hɔːl/
halt	/hɔːlt/
hamburger	/ˈhæmbəːgə/
hammer	/ˈhæmə/
hand	/hænd/
handful	/ˈhændful/
handkerchief	/ˈhæŋkət∫iːf/
handle	/ˈhændl/
handsome	/ˈhænsəm/
handwriting	/ˈhændˌraitiŋ/
handy	/ˈhændi/
hang	/hæŋ/
happen	/ˈhæpən/
happiness	/ˈhæpinis/
happy	/ˈhæpi/
harbour	/ˈhɑːbə/
hard	/hɑːd/
harden	/ˈhɑːdn/
hardly	/ˈhɑːdli/
hardship	/ˈhɑːdˌ∫ip/
hardware	/ˈhɑːdweə/
hare	/heə/
harm	/hɑːm/
harmful	/ˈhɑːmful/
harmony	/ˈhɑːməni/
harness	/ˈhɑːnis/
harsh	/hɑː∫/
harvest	/ˈhɑːvist/
haste	/heist/
hasten	/ˈheisn/
hasty	/ˈheisti/
hat	/hæt/
hatch	/hæt∫/
hate	/heit/
hateful	/ˈheitful/
hatred	/ˈheitrid/
have	/hæv/
hawk	/hɔːk/
hay	/hei/
hazard	/ˈhæzəd/
he	/hiː/
head	/hed/
headache	/ˈhedeik/
heading	/ˈhediŋ/
headline	/ˈhedlain/
headmaster	/hedˈmɑːstə(r)/
headquarters	/ˈhedˌkwɔːtəz/
heal	/hiːl/
health	/helθ/
healthy	/ˈhelθi/
heap	/hiːp/
hear	/hiə/
heart	/hɑːt/
heat	/hiːt/
heating	/ˈhiːtiŋ/
heaven	/ˈhevn/
heavily	/ˈhevili/
heavy	/ˈhiːvi/
hedge	/hedʒ/
heel	/hiːl/
height	/hait/
heir	/eə/
helicopter	/ˈhelikɔptə/
hell	/hel/
hello	/ˈheləu/
helmet	/ˈhelmit/
help	/help/
helpful	/ˈhelpful/
helpless	/ˈhelplis/
hen	/hen/
hence	/hens/
her	/həː/
herd	/həːd/
here	/hiə/
hero	/ˈhiərəu/
heroic	/hiˈrəuik/
heroine	/ˈherəuin/
hers	/həːz/
herself	/həːˈself/
hesitate	/ˈheziteit/
hi	/hai/
hide	/haid/
high	/hai/
highly	/ˈhaili/
highway	/ˈhaiwei/
hill	/hil/
hillside	/ˈhilsaid/
him	/him/
himself	/himˈself/
hint	/hint/
hire	/ˈhaiə/
his	/hiz/
historical	/hisˈtɔrikəl/
history	/ˈhistəri/
hit	/hit/
hobby	/ˈhɔbi/
hold	/həuld/
hole	/həul/
holiday	/ˈhɔlidei/
hollow	/ˈhɔləu/
holy	/ˈhəuli/
home	/həum/
honest	/ˈɔnist/
honesty	/ˈɔnisti/
honey	/ˈhʌni/
honeymoon	/ˈhʌnimuːn/
honour	/ˈɔnə/
honourable	/ˈɔnərəbl/
hook	/huk/
hope	/həup/
hopeful	/ˈhəupful/
hopeless	/ˈhəuplis/
horizon	/həˈraizn/
horizontal	/ˌhɔriˈzɔntl/
horn	/hɔːn/
horror	/ˈhɔrə/
horse	/hɔːs/
horsepower	/ˈhɔːsˌpauə/
hospital	/ˈhɔspitl/
host	/həust/
hostess	/ˈhəustis/
hostile	/ˈhɔstail/
hot	/hɔt/
hotel	/həuˈtel/
hour	/ˈauə/
house	/haus/
household	/ˈhaushəuld/
housewife	/ˈhauswaif/
how	/hau/
however	/hauˈevə/
huge	/hjuːdʒ/
human	/ˈhjuːmən/
humble	/ˈhʌmbl/
humid	/ˈhjuːmid/
humorous	/ˈhjuːmərəs/
humour	/ˈhjuːmə/
hundred	/ˈhʌndrid/
hunger	/ˈhʌŋgə/
hungry	/ˈhʌŋgri/
hunt	/hʌnt/
hurry	/ˈhʌri/
hurt	/həːt/
husband	/ˈhʌzbənd/
hut	/hʌt/
hydrogen	/ˈhaidrəudʒən/
I	/ˈaɪ/
ice	/ais/
ice-cream	/ˈaiskriːm/
idea	/aiˈdiə/
ideal	/aiˈdiəl/
identical	/aiˈdentikəl/
identify	/aiˈdentifai/
idiom	/ˈidiəm/
idle	/ˈaidl/
i.e.	/ˈaiˈiː/
if	/if/
ignorant	/ˈignərənt/
ignore	/igˈnɔː/
ill	/il/
illegal	/iˈliːgəl/
illness	/ˈilnis/
illustrate	/ˈiləstreit/
illustration	/ˌiləsˈtrei∫ən/
image	/ˈimidʒ/
imaginary	/iˈmædʒinəri/
imagination	/iˌmædʒiˈnei∫ən/
imagine	/iˈmædʒin/
imitate	/ˈimiteit/
immediate	/iˈmiːdjət/
immediately	/iˈmiːdjətli/
immense	/iˈmens/
immigrant	/ˈimigrənt/
impact	/ˈimpækt/
impatient	/imˈpei∫ənt/
implication	/ˌimpliˈkei∫ən/
imply	/imˈplai/
import	/imˈpɔːt/
importance	/imˈpɔːtəns/
important	/imˈpɔːtənt/
impose	/imˈpəuz/
impossible	/imˈpɔsəbl/
impress	/imˈpres/
impression	/imˈpre∫ən/
impressive	/imˈpresiv/
imprison	/imˈprizn/
improve	/imˈpruːv/
improvement	/imˈpruːvmənt/
in	/in/
inch	/int∫/
incident	/ˈinsidənt/
incline	/inˈklain/
include	/inˈ kluːd/
income	/ˈinkəm/
incorrect	/ˌinkəˈrekt/
increase	/inˈkriːs/
increasingly	/inˈkriːsiŋli/
indeed	/inˈdiːd/
indefinite	/inˈdefinit/
independence	/ˌindiˈpendəns/
independent	/indiˈpendənt/
index	/ˈindeks/
India	/ˈindjə/
Indian	/ˈindjən/
indicate	/ˈindikeit/
indication	/ˌindiˈkei∫ən/
indifferent	/inˈdifərənt/
indignant	/inˈdignənt/
indirect	/ˌindiˈrekt/
indispensable	/ˌindisˈpensəbl/
individual	/ˌindiˈvidjuəl/
indoors	/ˈinˈdɔːz/
industrial	/inˈdʌstriəl/
industrialize	/inˈdʌstriəlaiz/
industry	/ˈindəstri/
inefficient	/ˌiniˈfi∫ənt/
inevitable	/inˈevitəbl/
inexpensive	/ˌiniksˈpensiv/
infant	/ˈinfənt/
infect	/inˈfekt/
infer	/inˈfəː/
inferior	/inˈfiəriə/
infinite	/ˈinfinit/
influence	/ˈinfluəns/
influential	/ˌinfluˈen∫əl/
inform	/inˈfɔːm/
information	/ˌinfəˈmei∫ən/
inhabit	/inˈhæbit/
inhabitant	/inˈhæbitənt/
inherit	/inˈherit/
initial	/iˈni∫əl/
injection	/inˈdʒek∫ən/
injure	/ˈindʒə/
injury	/ˈindʒəri/
ink	/iŋk/
inn	/in/
inner	/ˈinə/
innocent	/ˈinəsnt/
input	/ˈinput/
inquire	/inˈkwaiə/
inquiry	/inˈkwaiəri/
insect	/ˈinsekt/
insert	/inˈsəːt/
inside	/ˈinˈsaid/
insist	/inˈsist/
inspect	/inˈspekt/
inspection	/inˈspek∫ən/
inspire	/inˈspaiə/
install	/inˈstɔːl/
installation	/ˌinstəˈlei∫ən/
instance	/ˈinstəns/
instant	/ˈinstənt/
instantly	/ˈinstəntli/
instead	/inˈsted/
instinct	/ˈinstiŋkt/
institute	/ˈinstitjuːt/
institution	/ˌinstiˈtjuː∫ən/
instruct	/inˈstrʌkt/
instruction	/inˈstrʌk∫ən/
instrument	/ˈinstrumənt/
insufficient	/ˌinsəˈfi∫ənt/
insult	/ˈinsʌlt/
insurance	/inˈ∫uərəns/
insure	/inˈ∫uə/
intellectual	/ˌintiˈlektjuəl/
intelligence	/inˈtelidʒəns/
intelligent	/inˈtelidʒənt/
intend	/inˈtend/
intense	/inˈtens/
intensity	/inˈtensiti/
